patient_group,reference_source,reference_class,nearest_patient,nearest_similarity,mean_similarity,median_similarity,top5_mean_similarity
ICBHI_134,Asthma_V2,Asthma,AsthmaV2_asthma_P20,-0.06743622143289589,-0.16157266914801263,-0.15685314688628366,-0.09600869357924001
ICBHI_134,Asthma_V2,Bronchitis,AsthmaV2_Bronchial_P12,-0.07979211826447954,-0.20460257900731976,-0.21797846832679763,-0.14076534484331218
ICBHI_134,Asthma_V2,COPD,AsthmaV2_copd_P24,0.062481428778715556,-0.06341560643274848,-0.05902928503067762,0.028730837206457072
ICBHI_134,Asthma_V2,Healthy,AsthmaV2_healthy_P16,0.05520750329414264,-0.08391718199781065,-0.09103538978063123,0.010616396275845014
ICBHI_134,Asthma_V2,Pneumonia,AsthmaV2_pneumonia_P14,0.9635259963859668,0.8674893806531688,0.8657110058492101,0.9419741702396461
ICBHI_134,ICBHI,COPD,ICBHI_155,0.688648045048224,0.0055274866791056665,-0.027075712940357863,0.32472607977397894
ICBHI_134,ICBHI,Healthy,ICBHI_153,0.24518084106600588,-0.10799631672259213,-0.13572852196922863,0.05670254702748553
ICBHI_134,ICBHI,Pneumonia,ICBHI_191,0.9381329584020639,0.8995727457373048,0.9097677639300524,0.8995727457373051
ICBHI_141,Asthma_V2,Asthma,AsthmaV2_asthma_P50,-0.03242118891113688,-0.16437792967133227,-0.17473441464176231,-0.07671646989020482
ICBHI_141,Asthma_V2,Bronchitis,AsthmaV2_Bronchial_P6,0.19042497910604383,0.09890828154827683,0.10705680690598865,0.1748550561217985
ICBHI_141,Asthma_V2,COPD,AsthmaV2_copd_P33,0.9179636094748047,0.8318904525033269,0.8409925589657531,0.8763002672058452
ICBHI_141,Asthma_V2,Healthy,AsthmaV2_healthy_P8,-0.04346078743722372,-0.17281484557108132,-0.1594837363456702,-0.08818270144124993
ICBHI_141,Asthma_V2,Pneumonia,AsthmaV2_pneumonia_P10,0.08963363762908944,-0.07548213774081888,-0.08080558156785261,0.05552660901025099
ICBHI_141,ICBHI,COPD,ICBHI_177,0.9031465955136116,0.7867320528957211,0.8426602515784485,0.8809133452373713
ICBHI_141,ICBHI,Healthy,ICBHI_183,0.2120894750202991,-0.0865243286185957,-0.10598122926814155,0.057106014420019856
ICBHI_141,ICBHI,Pneumonia,ICBHI_135,0.12541389847822268,-0.049649434248834466,-0.04495354928629045,-0.04964943424883447
ICBHI_199,Asthma_V2,Asthma,AsthmaV2_asthma_P56,-0.04682952154641333,-0.12476330218729399,-0.1304971834609513,-0.07245274851920566
ICBHI_199,Asthma_V2,Bronchitis,AsthmaV2_Bronchial_P3,-0.13620499104924577,-0.18090270203634884,-0.1760527013921243,-0.14159745586074812
ICBHI_199,Asthma_V2,COPD,AsthmaV2_copd_P28,0.29310257409331963,0.23136758747753827,0.24213797159506278,0.2709159679335228
ICBHI_199,Asthma_V2,Healthy,AsthmaV2_healthy_P26,0.6396815495068601,0.4783026997221061,0.5298525179758097,0.5947838715443414
ICBHI_199,Asthma_V2,Pneumonia,AsthmaV2_pneumonia_P21,0.06468779762626385,-0.03992925331764445,-0.046794249739963045,0.0222161353266359
ICBHI_199,ICBHI,COPD,ICBHI_204,0.27987118091742613,0.2052878540818083,0.21772177781716973,0.27160263254332573
ICBHI_199,ICBHI,Healthy,ICBHI_214,0.5788115056266471,0.49755014404108633,0.5255627353839758,0.5583327210686854
ICBHI_199,ICBHI,Pneumonia,ICBHI_226,0.029560908095646158,-0.0010615047331458843,-0.001516667554832733,-0.0010615047331458856
