split,patient_group,recordings,rms_mean,rms_std,peak_mean,zcr_mean,centroid_mean,bandwidth_mean,rolloff_mean
test,AsthmaV2_Bronchial_P11,5,0.26096679270267487,0.1782937666362135,0.816200977563858,0.011703166555851064,181.4688977090598,432.1881828752631,248.9029255319149
test,AsthmaV2_Bronchial_P12,5,0.11239040046930313,0.03061237063183973,0.6627832889556885,0.0029239735704787236,38.81269050690243,63.26776166645649,60.71309840425532
test,AsthmaV2_Bronchial_P21,4,0.2043726183474064,0.07469219171556361,0.7964432686567307,0.0032013923891129033,193.0950880275482,728.9431022600477,193.67942207875774
train,AsthmaV2_Bronchial_P1,5,0.026382576674222946,0.001348548854081581,0.17943917214870453,0.043640396442819154,684.0278381300416,1032.3281660023636,1287.3005319148938
train,AsthmaV2_Bronchial_P10,5,0.030277790129184724,0.01904295555861201,0.15778978541493416,0.021293218085106386,384.1583204482609,856.1735530249655,452.04454787234044
train,AsthmaV2_Bronchial_P13,5,0.10828438997268677,0.031046406642930825,0.6655143737792969,0.0035883477393617025,63.36909688074574,114.44236811566581,98.36269946808511
train,AsthmaV2_Bronchial_P15,5,0.27843445241451265,0.13541351971106536,0.9620944142341614,0.0063300760099767,228.71724449866988,573.9100492729424,399.6352759819707
train,AsthmaV2_Bronchial_P16,5,0.2622935712337494,0.09254561164653227,0.8692071676254273,0.007329932679521277,446.7327193041454,1208.723610255401,545.6865026595744
train,AsthmaV2_Bronchial_P18,5,0.18611210882663726,0.06332303610779709,0.9513670563697815,0.011679608585581152,314.9325040033963,784.0189930490479,407.5691085064195
train,AsthmaV2_Bronchial_P19,5,0.19367374181747438,0.0441054162910721,0.9782571911811828,0.017059715757978725,361.4491853198007,786.4608297618468,511.76030585106383
train,AsthmaV2_Bronchial_P2,5,0.02446986399590969,0.0010987160145175669,0.1451510190963745,0.020405481216755318,378.6028212379046,856.4669683755617,540.3174867021277
train,AsthmaV2_Bronchial_P20,5,0.17596472501754762,0.09338180725440684,0.8584230542182922,0.015259174564891944,316.49591039276646,662.7068166545025,470.3035093001472
train,AsthmaV2_Bronchial_P3,5,0.027921302989125252,0.0030147660438214923,0.17091275453567506,0.016444169714095742,354.5823399118847,867.7766012766162,451.62067819148945
train,AsthmaV2_Bronchial_P4,5,0.057899200916290285,0.020299538336640135,0.4007698059082031,0.006108710106382979,182.3945085179493,578.9573285493774,206.93982712765956
train,AsthmaV2_Bronchial_P6,5,0.016150724329054355,0.0009761182744053998,0.11852558851242065,0.010480385638297871,296.3011333843768,787.1324701724427,381.21675531914894
train,AsthmaV2_Bronchial_P7,5,0.014959817565977574,0.0015024170787161784,0.11403464078903199,0.010919838763297872,306.67157022161615,801.9079199365517,394.6060505319149
train,AsthmaV2_Bronchial_P8,5,0.01701238602399826,0.002357813644331393,0.16866472363471985,0.010892448180513341,304.04875972816535,799.1001920061799,388.490480412023
train,AsthmaV2_Bronchial_P9,5,0.017520580627024173,0.00267579634205745,0.17314208745956422,0.011565463327950862,307.30585634847074,805.5670855574458,386.3550373606889
validation,AsthmaV2_Bronchial_P14,5,0.11647812873125077,0.041405362955748135,0.6471183001995087,0.0044760846077127655,100.13509176947326,209.24800586771775,160.5967420212766
validation,AsthmaV2_Bronchial_P17,5,0.2781135857105255,0.08319191861531992,0.9758614659309387,0.00648814885112568,224.59551289856648,595.9434128577543,351.67325117516083
validation,AsthmaV2_Bronchial_P5,5,0.02593444585800171,0.0015168538987741435,0.1924217462539673,0.006120624432729652,294.05342502720373,957.4653064607228,189.39890450861193
