,duration,duration,duration,duration,duration,rms,rms,rms,rms,rms,peak,peak,peak,peak,peak,zcr,zcr,zcr,zcr,zcr,spectral_centroid,spectral_centroid,spectral_centroid,spectral_centroid,spectral_centroid,spectral_bandwidth,spectral_bandwidth,spectral_bandwidth,spectral_bandwidth,spectral_bandwidth,spectral_rolloff,spectral_rolloff,spectral_rolloff,spectral_rolloff,spectral_rolloff
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
source_class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronchial,104,5.860596153846154,0.678941118167803,2.0000625,6.0,104,0.11513166734053251,0.11442633231623368,0.009243616834282875,0.41253671050071716,104,0.5213862129200536,0.3772059282537314,0.054655659943819046,1.0220204591751099,104,0.011887984554890348,0.012089933855411109,0.0021868766622340427,0.05735486619015957,104,284.7755527241076,168.3329869983335,30.00627700457481,761.0131502178128,104,690.2375049782145,308.22230141713675,42.505930446970495,1471.325488394159,104,388.86717579345066,312.5021653525545,47.332114361702125,1428.8979388297873
asthma,288,5.865390625,0.6613994775616108,0.48,6.0,288,0.1305729643208906,0.09229896101831557,0.0156333539634943,0.5309620499610901,288,0.7077156892563734,0.313720458564422,0.07087100297212601,1.028025507926941,288,0.004032581646706623,0.00209166261107546,0.000830078125,0.015840570977393616,288,73.43664846927356,36.66351070009881,24.766994554907598,233.73675777078955,288,154.74589847943838,135.8989966223434,38.24677747268321,845.926444167437,288,121.00940530188967,61.49985005159363,40.226063829787236,327.1276595744681
copd,401,5.99067331670823,0.0864695062505964,4.944,6.0,401,0.23920881768405214,0.14533834260667747,0.013579070568084717,0.7108259201049805,401,0.8666702909882824,0.24348824917049178,0.05895548313856125,1.4252746105194092,401,0.0061948591469584485,0.004279183947984003,0.0009869514627659575,0.023211540059840427,401,200.3595668767493,156.96317659162705,37.52315085458018,900.4003958256344,401,544.9638249085466,401.84312658005985,87.06909162336567,1670.091535720119,401,258.6368750239477,283.0261384269209,40.475398936170215,2211.186835106383
healthy,133,5.915032894736842,0.24946039238433354,4.6174375,6.0,133,0.15554287657141685,0.11546996649857962,0.026198847219347954,0.5093156695365906,133,0.6056788756435079,0.33174441394759674,0.10619629919528961,1.0940752029418945,133,0.004019306317858418,0.0035192966927112008,0.0014700382313829786,0.019871488530585107,133,187.29067262599838,85.76683796659597,61.940498727653306,409.4526702930929,133,680.276961734275,179.63973901231685,284.6278059429243,1173.5627912625412,133,195.21456036162124,184.818818761139,46.44808743169399,896.235039893617
pneumonia,285,5.865570175438597,0.3803651623470554,3.072,6.0,285,0.19276773276689804,0.10563816320487483,0.02454664558172226,0.4881074130535126,285,0.7537077625069701,0.28983130961216075,0.13720586895942688,1.086485743522644,285,0.0032672704088655873,0.0014319398228161205,0.001407704454787234,0.010708423371010639,285,128.95582165000687,45.747668075595485,27.398870968010804,261.37979129393807,285,505.8130788941316,189.5611541482362,43.56208953522888,856.9203881937544,285,140.18071065446978,59.2093886472749,44.58942819148936,355.75964095744683
